,peakid,nb_members,death_rate,success_rate,pkname,heightm
218,SAIE,64,0.0,0.046875,Saipal East Humla,6925
219,SAIP,400,0.0,0.0,Saipal,7030
221,SAMD,298,0.0,0.020134228187919462,Samdo,6335
222,SARI,630,0.0,0.1,Saribung,6328
226,SHAR,100,0.0,0.0,Shartse,7591
227,SHER,34,0.0,0.0,Shershon,6432
228,SHEY,37,0.0,0.02702702702702703,Shey Shikhar,6139
229,SHNW,277,0.0,0.07220216606498195,Shershon Northwest,6682
230,SIMN,93,0.0,0.06451612903225806,Simnang Himal,6251
232,SITA,64,0.0,0.015625,Sita Chuchura,6611
234,SPH2,29,0.0,0.06896551724137931,Sharphu II,6328
235,SPH6,16,0.0,0.0,Sharphu VI,6076
236,SPHN,36,0.0,0.1388888888888889,Sphinx,6825
237,SURM,20,0.0,0.1,Surma-Sarovar North,6564
238,SWAK,16,0.0,0.0,Swaksa Kang,6405
240,SYKG,36,0.0,0.1388888888888889,Syaokang,5929
241,TAKN,36,0.0,0.16666666666666666,Takphu North,6142
242,TAKP,35,0.0,0.11428571428571428,Takphu Himal,6395
243,TASH,421,0.0,0.052256532066508314,Tashi Kang,6386
244,TAWO,75,0.013333333333333334,0.13333333333333333,Tawoche,6495
245,TENG,118,0.0,0.11864406779661017,Tengkoma,6215
246,TENR,83,0.0,0.07228915662650602,Tengi Ragi Tau,6938
247,THAM,16,0.0,0.125,Thamserku,6618
248,THOR,36,0.0,0.16666666666666666,Thorong Peak,6144
249,THRK,81,0.0,0.037037037037037035,Tharke Kang,6710
250,THUL,155,0.01935483870967742,0.025806451612903226,Thulagi,7059
251,TILI,1785,0.0016806722689075631,0.020168067226890758,Tilicho,7134
253,TKPO,521,0.0019193857965451055,0.030710172744721688,Tengkangpoche,6482
255,TKRG,20,0.0,0.1,Takargo,6771
256,TLNG,111,0.0,0.04504504504504504,Talung,7349
257,TOBS,555,0.0,0.005405405405405406,Tobsar,6065
258,TSAR,158,0.0,0.02531645569620253,Tsartse,6343
259,TUKU,1723,0.0,0.01857225769007545,Tukuche,6920
260,TUTS,13,0.0,0.0,Tutse,6758
261,URKM,13,0.0,0.0,Urkinmang,6143
262,URMA,1181,0.0,0.027095681625740897,Urkema,5890
263,YAKA,44,0.0,0.022727272727272728,Yakawa Kang,6482
264,YALU,82,0.012195121951219513,0.012195121951219513,Yalung Kang,8505
266,YANS,44,0.0,0.045454545454545456,Yansa Tsenji,6567
268,YAUP,40,0.0,0.0,Yaupa,6422
